Id,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,2.3,3.25,3.0,2.1,3.25,3.15,2.25,3.2,3.1,2.1,3.0,3.1,2.1,3.0,3.2,2.2,3.2,3.2,2.2,3.2,2.8,2.0,3.25,3.4,2.2,3.25,3.1,56.0,2.4,2.2,3.3,3.16,3.4,3.05,36.0,2.2,2.01,1.87,1.7,22.0,-0.25,2.1,2.01,1.92,1.84
1,5.0,3.4,1.72,4.35,3.35,1.75,4.25,3.4,1.83,3.8,3.1,1.8,3.75,3.2,1.83,4.33,3.6,1.75,4.33,3.2,1.72,4.0,3.25,1.83,4.5,3.3,1.8,56.0,5.65,4.69,3.7,3.36,1.8,1.69,36.0,2.1,1.93,1.87,1.79,23.0,0.75,2.05,2.0,1.93,1.86
2,2.37,3.25,2.87,2.3,3.2,2.8,2.3,3.3,2.95,2.2,3.0,2.9,2.25,3.0,2.88,2.3,3.2,3.0,2.3,3.2,2.62,2.2,3.2,3.0,2.35,3.25,2.8,56.0,2.6,2.31,3.3,3.16,3.05,2.87,36.0,2.24,2.04,1.77,1.69,21.0,0.0,1.85,1.81,2.11,2.05
3,1.72,3.4,5.0,1.65,3.45,4.8,1.73,3.45,4.75,1.7,3.2,4.2,1.67,3.25,4.5,1.7,3.4,5.0,1.7,3.3,4.33,1.67,3.25,5.0,1.75,3.25,5.0,55.0,1.8,1.69,3.63,3.38,5.6,4.79,36.0,2.1,1.94,1.9,1.77,23.0,-0.75,2.19,2.1,1.83,1.76
4,2.87,3.2,2.4,2.9,3.35,2.2,2.7,3.3,2.45,2.5,3.0,2.5,2.75,3.1,2.3,2.7,3.2,2.5,2.75,3.1,2.3,2.75,3.2,2.38,2.8,3.25,2.35,56.0,3.3,2.81,3.35,3.17,2.5,2.35,36.0,2.23,2.02,1.8,1.71,21.0,0.25,1.89,1.86,2.04,2.0
5,2.75,3.2,2.5,2.65,3.25,2.4,2.55,3.3,2.6,2.5,3.0,2.5,2.75,3.2,2.25,2.7,3.2,2.5,2.62,3.2,2.3,2.6,3.2,2.5,2.75,3.25,2.4,56.0,3.25,2.79,3.3,3.18,2.5,2.35,36.0,2.1,1.96,1.84,1.75,21.0,0.25,1.95,1.87,2.03,1.99
6,2.37,3.2,2.9,2.25,3.25,2.85,2.4,3.35,2.75,2.2,3.0,2.9,2.38,3.0,2.75,2.4,3.25,2.8,2.3,3.2,2.62,2.25,3.25,2.88,2.4,3.25,2.75,55.0,2.6,2.33,3.35,3.17,3.05,2.82,35.0,2.12,1.98,1.82,1.74,21.0,-0.25,2.07,2.03,1.86,1.83
7,2.5,3.2,2.75,2.2,3.3,2.9,2.4,3.3,2.75,2.3,3.0,2.7,2.38,3.0,2.75,2.5,3.2,2.7,2.3,3.2,2.62,2.38,3.2,2.75,2.4,3.25,2.75,55.0,2.6,2.4,3.35,3.16,2.9,2.74,35.0,2.25,2.02,1.8,1.71,20.0,0.0,1.86,1.82,2.08,2.04
8,1.4,4.2,8.0,1.35,4.0,9.0,1.44,4.0,7.5,1.45,3.8,5.4,1.4,3.75,7.0,1.4,4.33,7.5,1.4,3.75,7.0,1.4,4.0,7.5,1.45,3.8,7.5,54.0,1.5,1.42,4.45,3.91,8.73,7.36,36.0,1.8,1.7,2.25,2.01,22.0,-1.25,2.08,2.03,1.89,1.83
9,10.0,4.5,1.33,9.0,4.6,1.3,9.0,4.25,1.36,6.0,3.9,1.4,8.0,4.0,1.33,9.5,4.8,1.3,8.0,4.5,1.28,8.0,4.5,1.33,11.0,4.5,1.3,54.0,12.5,9.05,5.0,4.32,1.4,1.32,34.0,1.88,1.76,2.11,1.95,20.0,1.5,2.0,1.92,2.0,1.91
10,2.2,3.2,3.25,2.15,3.1,3.2,2.1,3.2,3.4,2.2,3.0,2.9,2.1,3.2,3.0,2.1,3.2,3.4,2.2,3.1,2.87,2.1,3.2,3.2,2.1,3.25,3.4,73.0,2.25,2.11,3.3,3.14,3.8,3.21,45.0,2.3,2.06,1.72,1.66,26.0,-0.25,1.9,1.86,2.05,1.99
11,2.0,3.2,3.75,1.9,3.1,4.0,2.05,3.2,3.6,1.9,3.1,3.5,1.91,3.2,3.5,2.0,3.2,3.75,1.95,3.25,3.3,2.0,3.25,3.4,1.9,3.3,4.0,72.0,2.1,1.96,3.3,3.18,4.4,3.59,44.0,2.35,2.01,1.75,1.68,26.0,-0.5,2.12,2.07,1.84,1.79
12,1.8,3.4,4.33,1.7,3.2,5.0,1.8,3.3,4.5,1.8,3.1,3.8,1.62,3.5,4.5,1.8,3.3,4.5,1.7,3.2,4.5,1.67,3.25,5.0,1.75,3.5,4.5,71.0,1.83,1.74,3.5,3.3,5.3,4.5,45.0,2.06,1.92,1.91,1.79,25.0,-0.5,1.86,1.82,2.1,2.03
13,1.28,5.0,10.0,1.3,4.5,9.0,1.3,4.5,11.0,1.33,4.0,7.5,1.22,5.0,10.0,1.3,4.5,11.0,1.33,4.0,8.0,1.3,4.33,10.0,1.28,4.5,12.0,72.0,1.33,1.27,5.25,4.57,16.0,10.23,44.0,1.88,1.75,2.05,1.94,25.0,-1.5,1.95,1.87,2.01,1.96
14,1.22,5.5,13.0,1.25,5.0,10.0,1.27,5.0,11.0,1.27,4.3,8.5,1.25,4.5,10.0,1.285,5.0,10.0,1.28,4.5,8.0,1.29,4.5,10.0,1.25,5.0,13.0,73.0,1.3,1.25,5.6,4.79,16.0,10.46,45.0,1.8,1.72,2.1,1.97,25.0,-1.5,1.95,1.87,2.0,1.95
15,1.61,3.6,5.5,1.6,3.5,5.25,1.6,3.5,6.0,1.65,3.3,4.4,1.57,3.5,5.0,1.615,3.4,6.0,1.7,3.0,5.0,1.57,3.5,5.5,1.55,3.6,6.0,73.0,1.7,1.6,3.8,3.41,6.5,5.35,44.0,1.95,1.82,2.05,1.89,25.0,-0.75,1.99,1.9,2.01,1.96
16,1.9,3.3,4.0,1.9,3.1,4.0,1.9,3.3,4.0,1.9,3.1,3.5,1.8,3.2,4.0,1.833,3.25,4.333,1.8,3.3,3.75,1.83,3.25,4.0,1.9,3.25,4.0,73.0,2.0,1.86,3.5,3.2,4.5,3.91,45.0,2.15,1.99,1.8,1.72,26.0,-0.5,1.94,1.89,2.01,1.95
17,2.2,3.2,3.25,2.25,3.0,3.1,2.15,3.25,3.25,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.3,3.6,2.1,3.2,3.0,2.1,3.2,3.2,2.1,3.25,3.4,70.0,2.2,2.11,3.3,3.17,3.6,3.24,45.0,2.25,2.04,1.77,1.66,26.0,-0.25,1.85,1.82,2.12,2.05
18,2.1,3.2,3.5,2.2,3.1,3.1,2.1,3.2,3.4,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.2,3.4,2.05,3.2,3.1,2.2,3.2,3.0,2.1,3.25,3.4,71.0,2.2,2.09,3.27,3.15,3.7,3.25,43.0,2.15,2.0,1.75,1.69,25.0,-0.25,1.86,1.83,2.08,2.03
19,2.0,3.2,3.75,1.8,3.2,4.3,1.95,3.3,3.75,1.9,3.1,3.7,1.83,3.2,3.75,1.909,3.25,4.0,1.83,3.2,3.75,2.0,3.25,3.4,2.0,3.2,3.75,72.0,2.15,1.91,3.35,3.18,4.4,3.79,44.0,2.2,2.02,1.75,1.68,26.0,-0.5,2.1,2.04,1.87,1.81
