Id,Name
0,Aston Villa
1,Everton
2,Fulham
3,Man City
4,Middlesbrough
5,Portsmouth
6,Sunderland
7,West Ham
8,Arsenal
9,Wigan
10,Birmingham
11,Blackburn
12,Charlton
13,Liverpool
14,Man United
15,Newcastle
16,Tottenham
17,West Brom
18,Bolton
19,Chelsea
20,Oldham
21,Sheffield United
22,Southampton
23,Norwich
24,Ipswich
25,Leeds
26,Wimbledon
27,Coventry
28,QPR
29,Sheffield Weds
30,Swindon
31,
32,Reading
33,Swansea
34,Stoke
35,Crystal Palace
36,Watford
37,Derby
38,Leicester
39,Bradford
40,Nott'm Forest
41,Wolves
42,Hull
43,Cardiff
44,Bournemouth
45,Burnley
46,Barnsley
47,Brighton
48,Huddersfield
49,Blackpool
50,Brentford
