Id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
0,2005-08-13,0.0,18.0,2.0,2.0,D,2.0,2.0,D,5.0,3.0,13.0,2.0,6.0,14.0,16.0,7.0,8.0,0.0,2.0,0.0,0.0,Ses2005/2006
1,2005-08-13,1.0,14.0,0.0,2.0,A,0.0,1.0,A,51.0,10.0,12.0,5.0,5.0,15.0,14.0,8.0,6.0,3.0,1.0,0.0,0.0,Ses2005/2006
2,2005-08-13,2.0,10.0,0.0,0.0,D,0.0,0.0,D,11.0,15.0,7.0,7.0,4.0,12.0,13.0,6.0,6.0,1.0,2.0,0.0,0.0,Ses2005/2006
3,2005-08-13,3.0,17.0,0.0,0.0,D,0.0,0.0,D,37.0,15.0,13.0,8.0,3.0,13.0,11.0,3.0,6.0,2.0,3.0,0.0,0.0,Ses2005/2006
4,2005-08-13,4.0,13.0,0.0,0.0,D,0.0,0.0,D,17.0,4.0,16.0,2.0,7.0,17.0,11.0,5.0,0.0,2.0,3.0,1.0,0.0,Ses2005/2006
5,2005-08-13,5.0,16.0,0.0,2.0,A,0.0,1.0,A,65.0,11.0,11.0,7.0,6.0,13.0,23.0,7.0,2.0,0.0,2.0,0.0,0.0,Ses2005/2006
6,2005-08-13,6.0,12.0,1.0,3.0,A,1.0,1.0,D,52.0,12.0,14.0,8.0,4.0,15.0,17.0,5.0,5.0,2.0,0.0,0.0,1.0,Ses2005/2006
7,2005-08-13,7.0,11.0,3.0,1.0,H,0.0,1.0,A,8.0,13.0,11.0,5.0,5.0,11.0,14.0,2.0,6.0,0.0,1.0,0.0,1.0,Ses2005/2006
8,2005-08-14,8.0,15.0,2.0,0.0,H,0.0,0.0,D,18.0,15.0,2.0,12.0,1.0,15.0,17.0,8.0,3.0,0.0,1.0,0.0,1.0,Ses2005/2006
9,2005-08-14,9.0,19.0,0.0,1.0,A,0.0,0.0,D,24.0,12.0,20.0,5.0,9.0,14.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,Ses2005/2006
10,2005-08-20,10.0,3.0,1.0,2.0,A,1.0,1.0,D,24.0,9.0,9.0,2.0,6.0,7.0,12.0,9.0,4.0,3.0,1.0,0.0,0.0,Ses2005/2006
11,2005-08-20,11.0,2.0,2.0,1.0,H,1.0,0.0,H,52.0,16.0,8.0,9.0,4.0,26.0,14.0,8.0,1.0,2.0,2.0,0.0,0.0,Ses2005/2006
12,2005-08-20,12.0,9.0,1.0,0.0,H,1.0,0.0,H,11.0,21.0,4.0,10.0,0.0,10.0,11.0,4.0,4.0,0.0,1.0,0.0,0.0,Ses2005/2006
13,2005-08-20,13.0,6.0,1.0,0.0,H,1.0,0.0,H,65.0,15.0,2.0,6.0,0.0,8.0,20.0,5.0,5.0,2.0,3.0,0.0,1.0,Ses2005/2006
14,2005-08-20,14.0,0.0,1.0,0.0,H,0.0,0.0,D,32.0,18.0,3.0,12.0,3.0,13.0,21.0,11.0,7.0,2.0,1.0,0.0,0.0,Ses2005/2006
15,2005-08-20,15.0,7.0,0.0,0.0,D,0.0,0.0,D,3.0,14.0,6.0,6.0,1.0,9.0,11.0,10.0,2.0,1.0,1.0,0.0,1.0,Ses2005/2006
16,2005-08-20,16.0,4.0,2.0,0.0,H,0.0,0.0,D,60.0,18.0,12.0,8.0,3.0,16.0,10.0,5.0,6.0,3.0,1.0,0.0,0.0,Ses2005/2006
17,2005-08-20,17.0,5.0,2.0,1.0,H,1.0,0.0,H,5.0,6.0,10.0,2.0,2.0,21.0,19.0,3.0,3.0,4.0,3.0,0.0,0.0,Ses2005/2006
18,2005-08-21,18.0,1.0,0.0,1.0,A,0.0,0.0,D,8.0,16.0,3.0,6.0,1.0,10.0,13.0,8.0,3.0,0.0,1.0,0.0,0.0,Ses2005/2006
19,2005-08-21,19.0,8.0,1.0,0.0,H,0.0,0.0,D,51.0,9.0,9.0,6.0,3.0,17.0,21.0,3.0,7.0,2.0,3.0,0.0,0.0,Ses2005/2006
